vcenta,vcentb,vcentc
1.006283099588654,1.007850514522405,0.9935818350858907
1.01684277200885,NaN,NaN
1.0454418619350916,1.0445985074042636,0.9744651216477765
1.0464430764349786,1.0442023289251319,0.97353023645014
NaN,NaN,0.9726178920953271
NaN,NaN,0.9717385286923645
NaN,NaN,0.9717385286923645
1.0463549417121287,1.044250114646166,0.9733253938803705
NaN,1.044250114646166,NaN
NaN,1.044250114646166,NaN
1.0462507729223294,1.0443065858610352,0.9730832516127856
1.0462507729223294,NaN,NaN
1.01684277200885,NaN,NaN
1.0462507729223294,NaN,NaN
1.0462507729223294,NaN,NaN
1.0462507729223294,NaN,NaN
1.0462507729223294,NaN,NaN
1.0462507729223294,NaN,NaN
NaN,1.015474075543293,NaN
1.0231262634044627,1.0200208631135752,0.9778398890283773
1.0317608881896352,1.022105980207662,0.9694116671017251
1.01684277200885,NaN,NaN
1.0000000001529568,1.0000000003694662,1.0000000001367995
NaN,NaN,0.9768305928749696
1.0,1.0,1.0
1.0000000000764784,1.0000000001847331,1.0000000000683997
1.0401737893573624,1.0131802304585766,0.964290044387113
1.023126263439732,1.0200208632033367,0.9778398890647292
NaN,NaN,0.9768305928749696
1.0427425679239375,1.0427066083831247,0.9734805700069367
1.0427425679817859,1.042706608416182,0.9734805700202147
NaN,NaN,0.9763592309478794
1.031760888116555,1.0221059801813153,0.9694116671233924
1.0311233207759483,NaN,NaN
1.0461440377130857,1.0442874116795415,0.9745511848353604
NaN,1.007850514522405,NaN
1.0302938933960848,NaN,NaN
1.0310139805291134,1.0253506468960707,0.9666715168581064
NaN,1.0335821352178827,NaN
1.0285913546494623,1.0254130616333177,0.9670210028080004
NaN,NaN,0.9662726683047821
1.0258194617310938,1.0254982465754376,0.967591300619843
1.0198072041724804,1.0258477886056279,0.9711215469162485
1.0258190417113437,NaN,0.967591300619843
1.0253723853420598,NaN,0.9675466970511267
1.0251968599553938,NaN,0.9675291736579769
1.024180004681453,1.0253744973031882,0.9680723993788213
1.021938208586443,1.0254400254351217,0.9690980868686485
NaN,NaN,0.9967003752663007
1.019836444762956,1.0261022736325567,0.9710025764259627
1.0456267036679285,1.0445831148934999,0.9730066359525383
NaN,NaN,0.9675466970511267
NaN,NaN,0.9675466970511267
1.0251968599553938,NaN,NaN
NaN,NaN,0.9772344364255132
1.0349857524180464,1.0205380818996896,0.9666484113064583
1.0349470319478875,1.0201222558773893,NaN
1.0349470319478875,NaN,NaN
NaN,1.0197998838678362,NaN
NaN,1.0197998838678362,NaN
NaN,NaN,0.9967003752663007
1.036197979792914,1.018241778621422,0.9662713987227477
NaN,NaN,0.9662713987227477
1.0372695790495086,1.0159769748048202,0.9662320731100202
NaN,1.0146801239718157,NaN
1.0382276181674008,1.0149007549285423,0.9658366670908768
1.0377207741229428,NaN,NaN
1.0449422498648526,1.044819674675738,0.9744039165247166
1.036960043553978,NaN,NaN
